Time,Data
872539160,0.000000
872698843,0.000000
872856804,0.000000
873014654,0.000000
873171874,0.000000
873329687,0.000000
873488407,0.000000
873646072,0.000000
873803588,0.000000
873961105,0.000000
874118640,0.000000
874276805,0.000000
874434877,0.000000
874592875,0.000000
874750521,0.000000
874909686,0.000000
875128109,0.000000
875344662,0.000000
875563289,0.000000
875720583,0.000000
875877859,0.000000
876035801,0.000000
876196614,0.000000
876354279,0.000000
876511870,0.000000
876669516,0.000000
876829921,0.000000
876987567,0.000000
877144528,0.000000
877301601,0.000000
877459580,0.000000
877619115,0.000000
877776539,0.000000
877993833,0.000000
878151608,0.000000
878308773,0.000000
878466753,0.000000
878684361,0.000000
878841915,0.000000
878999598,0.000000
879216762,0.000000
879374704,0.000000
879532795,0.000000
879750274,0.000000
879907661,0.000000
880065918,0.000000
880231212,0.000000
880440858,0.000000
880598856,0.000000
880757187,0.000000
880914833,0.000000
881073702,0.000000
881231644,0.000000
881389846,0.000000
881547418,0.000000
881707509,0.000000
881865229,0.000000
882022801,0.000000
882180706,0.000000
882340890,0.000000
882558572,0.000000
882715774,0.000000
882874050,0.000000
883031640,0.000000
883191546,0.000000
883348933,0.000000
883506560,0.000000
883663725,0.000000
883882167,0.000000
884039517,0.000000
884197663,0.000000
884355976,0.000000
884514770,0.000000
884672675,0.000000
884830359,0.000000
884988616,0.000000
885147429,0.000000
885304649,0.000000
885522794,0.000000
885680755,0.000000
885838679,0.000000
886056029,0.000000
886213860,0.000000
886371710,0.000000
886529597,0.000000
886689447,0.000000
886847537,0.000000
887004998,0.000000
887162533,0.000000
887380901,0.000000
887538769,0.000000
887696490,0.000000
887854747,0.000000
888072096,0.000000
888230964,0.000000
888388648,0.000000
888546498,0.000000
888704736,0.000000
888862697,0.000000
889020436,0.000000
889237989,0.000000
889395635,0.000000
889553504,0.000000
889710613,0.000000
889868666,0.000000
890026424,0.000000
890184070,0.000000
890341605,0.000000
890499603,0.000000
890716748,0.000000
890874709,0.000000
891032800,0.000000
891190242,0.000000
891349611,0.000000
891507627,0.000000
891724736,0.000000
891882419,0.000000
892101231,0.000000
892258655,0.000000
892416449,0.000000
892573651,0.000000
892732538,0.000000
892890499,0.000000
893048534,0.000000
893206643,0.000000
893367049,0.000000
893524362,0.000000
893681545,0.000000
893839543,0.000000
893999874,0.000000
894157520,0.000000
894375999,0.000000
894533553,0.000000
894751865,0.000000
894909641,0.000000
895067453,0.000000
895225729,0.000000
895384431,0.000000
895542540,0.000000
895700594,0.000000
895858295,0.000000
896017645,0.000000
896177014,0.000000
896334549,0.000000
896552879,0.000000
896710544,0.000000
896928690,0.000000
897086484,0.000000
897244482,0.000000
897402554,0.000000
897562015,0.000000
897719420,0.000000
897877178,0.000000
898034361,0.000000
898191674,0.000000
898350413,0.000000
898508744,0.000000
898667038,0.000000
898824647,0.000000
898983534,0.000000
899141532,0.000000
899358622,0.000000
899516472,0.000000
899674007,0.000000
899831728,0.000000
899992633,0.000000
900223834,0.000000
900381517,0.000000
900539145,0.000000
900698902,0.000000
900856344,0.000000
901013528,0.000000
901231525,0.000000
901389319,0.000000
901547743,0.000000
901705871,0.000000
901864591,0.000000
902022737,0.000000
902180550,0.000000
902338400,0.000000
902555434,0.000000
902713562,0.000000
902871430,0.000000
903029225,0.000000
903189352,0.000000
903346387,0.000000
903504200,0.000000
903661272,0.000000
903818993,0.000000
904036360,0.000000
904195210,0.000000
904352375,0.000000
904510410,0.000000
904669260,0.000000
904887813,0.000000
905045274,0.000000
905202661,0.000000
905360233,0.000000
905520194,0.000000
905677414,0.000000
905835116,0.000000
905993169,0.000000
906150353,0.000000
906309240,0.000000
906466238,0.000000
906623291,0.000000
906780511,0.000000
906938398,0.000000
907096415,0.000000
907313560,0.000000
907471281,0.000000
907629538,0.000000
907787277,0.000000
908004867,0.000000
908163698,0.000000
908321603,0.000000
908479287,0.000000
908696265,0.000000
908853263,0.000000
909011391,0.000000
909228333,0.000000
909385257,0.000000
909542607,0.000000
909700438,0.000000
909858066,0.000000
910017193,0.000000
910174728,0.000000
910332245,0.000000
910550279,0.000000
910708314,0.000000
910866275,0.000000
911024348,0.000000
911241956,0.000000
911399139,0.000000
911556433,0.000000
911714209,0.000000
911871189,0.000000
912030335,0.000000
912190444,0.000000
912348609,0.000000
912508329,0.000000
912666438,0.000000
912883158,0.000000
913041193,0.000000
913198246,0.000000
913356152,0.000000
913513131,0.000000
913731425,0.000000
913889460,0.000000
914047051,0.000000
914204641,0.000000
914364824,0.000000
914522304,0.000000
914680283,0.000000
914838207,0.000000
914998113,0.000000
915155092,0.000000
915311998,0.000000
915470274,0.000000
915627290,0.000000
915785418,0.000000
916001952,0.000000
916160561,0.000000
916318448,0.000000
916535501,0.000000
916693221,0.000000
916861423,0.000000
917019458,0.000000
917236196,0.000000
917394176,0.000000
917552211,0.000000
917710357,0.000000
917869133,0.000000
918027520,0.000000
918186814,0.000000
918344682,0.000000
918504699,0.000000
918722492,0.000000
